lid,X3857,Y3857,kind,trigger,forest_type,slope,chm
2019_34,13463406.44324865,2615818.655507604,case,降雨,針葉樹林型,47.704,14
2019_35,13461567.939685913,2610713.321071026,case,降雨,闊葉樹林型,29.415,21
2019_36,13463881.636983551,2707918.4579369887,case,降雨,針闊葉樹混淆,55.629,15
2019_37,13473981.074067334,2739154.791537578,case,降雨,闊葉樹林型,43.729,12
2019_38,13455101.899489217,2711263.3937323755,case,降雨,闊葉樹林型,38.118,11
2019_39,13462433.193875257,2615402.3605685798,case,降雨,針闊葉樹混淆,42.865,11
2019_40,13497772.29277342,2766000.483054948,case,降雨,闊葉樹林型,40.646,19
2019_41,13480420.919664308,2742992.970067238,case,降雨,__NONFOREST__,34.131,0
2019_42,13487825.91587793,2747284.216924747,case,降雨,闊葉樹林型,34.897,26
2019_43,13483003.934904924,2809308.3034123736,case,降雨,闊葉樹林型,44.848,29
2019_44,13477938.436923085,2810377.8018473755,case,降雨,闊葉樹林型,46.028,29
2019_45,13497131.20227612,2824226.0127180186,case,降雨,闊葉樹林型,46.736,18
2019_46,13510907.368141027,2841503.3634151258,case,降雨,闊葉樹林型,44.145,22
2019_47,13507865.17360989,2844125.082667385,case,降雨,闊葉樹林型,55.139,6
2019_48,13494266.107785292,2773116.0308838347,case,降雨,針闊葉樹混淆,57.025,19
2019_49,13493085.587999852,2770520.0773940384,case,降雨,闊葉樹林型,32.674,14
2019_50,13487236.543361245,2765132.069778833,case,降雨,闊葉樹林型,38.663,2
2019_51,13470121.983407306,2712611.5637760838,case,降雨,__NONFOREST__,57.447,0
2019_52,13472739.522512453,2704470.498091035,case,降雨,闊葉樹林型,39.112,0
2019_53,13433114.728610398,2615893.947293759,case,其他,闊葉樹林型,44.866,4
2019_54,13485995.394874291,2803785.1894122446,case,降雨,闊葉樹林型,52.352,26
2019_55,13486186.57172117,2803792.0269484003,case,降雨,闊葉樹林型,33.161,15
2019_56,13486619.336419428,2800073.158392956,case,降雨,針葉樹林型,36.55,2
2019_57,13475737.164860558,2782036.479274514,case,降雨,__NONFOREST__,52.635,4
2019_58,13502945.442670183,2785629.731686397,case,降雨,針葉樹林型,49.267,25
2019_59,13496562.96957119,2769574.4120597094,case,降雨,針葉樹林型,47.392,11
2019_60,13491611.552014954,2771059.1674735686,case,降雨,闊葉樹林型,44.418,18
2019_61,13487763.555954363,2782263.9377134168,case,降雨,針葉樹林型,43.992,7
2019_62,13497493.816508517,2764014.037594036,case,降雨,闊葉樹林型,41.037,19
2019_63,13496519.288852114,2764273.2942755665,case,降雨,闊葉樹林型,34.373,15
2019_64,13489924.028610315,2746270.857129946,case,降雨,闊葉樹林型,47.841,23
2019_65,13497960.292181026,2747476.119716988,case,降雨,闊葉樹林型,46.642,24
2019_66,13493780.615098218,2744755.2451195302,case,降雨,闊葉樹林型,32.174,11
2019_67,13484755.907998323,2742071.764371403,case,降雨,闊葉樹林型,37.707,0
2019_68,13478460.208585598,2743807.5068025403,case,降雨,闊葉樹林型,34.945,0
2019_69,13489483.967151647,2740632.584633399,case,降雨,闊葉樹林型,22.778,6
2019_70,13493752.3421725,2735640.457167074,case,降雨,針闊葉樹混淆,44.548,9
2019_71,13487928.822754474,2724962.703677401,case,降雨,針闊葉樹混淆,41.473,18
2019_72,13486915.509638816,2788928.3391898284,case,降雨,待成林地,42.826,8
2019_73,13495737.868458657,2789788.3420323688,case,降雨,闊葉樹林型,48.248,15
2019_74,13477477.915453153,2752439.3784089168,case,降雨,__NONFOREST__,47.557,0
2019_75,13474538.17796172,2739546.29577689,case,降雨,闊葉樹林型,39.435,1
2019_76,13473604.16443072,2735372.69029028,case,降雨,__NONFOREST__,52.371,1
2019_77,13467479.667736486,2723452.256611437,case,降雨,針闊葉樹混淆,51.302,3
2019_78,13461069.314229883,2714140.9032704,case,降雨,__NONFOREST__,57.776,9
2019_79,13470051.30995228,2712658.022979293,case,降雨,__NONFOREST__,53.449,0
2019_80,13463885.154346904,2707906.510908627,case,降雨,針闊葉樹混淆,55.629,3
2019_81,13450413.668901332,2705253.6571284547,case,降雨,闊葉樹林型,26.119,0
2019_82,13453030.339878129,2706202.3604766163,case,降雨,針闊葉樹混淆,30.887,15
2019_83,13466974.182856828,2702060.192884342,case,降雨,闊葉樹林型,40.482,18
2019_84,13451455.834145628,2698498.17859038,case,降雨,闊葉樹林型,54.009,1
2019_85,13449126.736888712,2697857.3489196524,case,降雨,闊葉樹林型,51.729,10
2019_86,13457030.099035136,2693545.840702019,case,降雨,__NONFOREST__,38.275,11
