lid,event,ft,slope,x,y,total,max24,max72,map_mm,annmax_mm
2023_521,卡努颱風,闊葉樹林型,48.540940845142885,262920.72,2654136.36,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_525,卡努颱風,闊葉樹林型,41.04621124674467,260832.15,2655137.67,151.20849609375,104.16500091552734,150.4449920654297,2563.44970703125,163.0745849609375
2023_526,卡努颱風,闊葉樹林型,34.21858270764895,260911.21,2654873.75,172.37350463867188,109.61000061035156,171.85499572753906,2548.475341796875,155.4546356201172
2023_527,卡努颱風,闊葉樹林型,56.75974611151607,274622.35,2633747.87,153.74649047851562,100.31999969482422,152.6949920654297,2296.82373046875,127.26499938964844
2023_530,卡努颱風,闊葉樹林型,40.7270942279994,274656.18,2659116.29,133.6945037841797,89.32499694824219,133.27999877929688,3239.04736328125,160.2562255859375
2023_531,卡努颱風,闊葉樹林型,48.31719711112848,274797.31,2658184.79,133.6945037841797,89.32499694824219,133.27999877929688,3239.04736328125,160.2562255859375
2023_534,卡努颱風,闊葉樹林型,50.4127146242384,282328.72,2656999.43,112.85399627685547,74.61499786376953,112.48500061035156,2648.472900390625,151.1837158203125
2023_537,卡努颱風,闊葉樹林型,45.22207888903144,285920.32,2659225.18,112.85399627685547,74.61499786376953,112.48500061035156,2330.667236328125,145.41802978515625
2023_538,卡努颱風,闊葉樹林型,28.810793742973065,285663.6,2659017.99,112.85399627685547,74.61499786376953,112.48500061035156,2330.667236328125,145.41802978515625
2023_545,卡努颱風,闊葉樹林型,51.00026655710474,269281.63,2660967.32,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_547,卡努颱風,闊葉樹林型,36.86989764584402,270381.45,2660364.97,151.20849609375,104.16500091552734,150.4449920654297,2940.666748046875,165.9717559814453
2023_548,卡努颱風,闊葉樹林型,33.70658681677467,269864.84,2661029.46,151.20849609375,104.16500091552734,150.4449920654297,2673.134765625,166.9835205078125
2023_550,卡努颱風,闊葉樹林型,37.410672491183874,270605.01,2662093.27,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
2023_551,卡努颱風,闊葉樹林型,35.43232547287678,270456.84,2661954.99,133.6945037841797,89.32499694824219,133.27999877929688,2763.3662109375,175.1996612548828
