pid,event,x,y,row,col,slope,north,east,planc,profc,elev,TypeName
2024_4745,凱米颱風,316320.0,2684680.0,5852,8400,38.99732513321522,-0.15437688027360963,-0.9880120337511015,0.026468064823641564,-0.0010319351763584366,993.0,闊葉樹林型
2024_4746,凱米颱風,317480.0,2684640.0,5854,8458,38.28695056949238,-0.19002190656586088,-0.9817798505902814,-1.5045135406218738e-05,-0.01251504513540622,1248.0,闊葉樹林型
2024_4747,凱米颱風,317320.0,2684620.0,5855,8450,41.278359841805916,-0.34174306308670443,-0.939793423488437,0.0022992700729927013,-0.005200729927007299,1221.0,闊葉樹林型
2024_4748,凱米颱風,317020.0,2684560.0,5858,8435,42.52694856602216,-0.29982659674039464,-0.9539937169012555,0.0044715824665676075,-0.010528417533432394,1248.0,闊葉樹林型
2024_4749,凱米颱風,316400.0,2684520.0,5860,8404,49.017701104158654,0.04343722427630684,-0.9990561583550596,-0.01005424528301887,0.009945754716981134,1129.0,闊葉樹林型
2024_4750,凱米颱風,317600.0,2684520.0,5860,8464,47.254232805058734,0.7625091353727915,0.6469774481950958,-0.0013561131873998922,0.01614388681260011,1239.0,闊葉樹林型
2024_4751,凱米颱風,315480.0,2684440.0,5864,8358,55.12156300416966,0.9235916635000174,0.3833776716415167,-0.004312936532037654,0.02818706346796234,1446.0,闊葉樹林型
2024_4752,凱米颱風,316580.0,2684340.0,5869,8413,39.98069050753483,-0.17888543819998318,-0.9838699100999074,0.006520000000000001,-0.0009800000000000002,1315.0,闊葉樹林型
2024_4753,凱米颱風,317020.0,2684340.0,5869,8435,42.04206908232861,0.6931087162517845,-0.720833064901856,-0.01899308224442736,0.013506917755572634,1447.0,闊葉樹林型
2024_4754,凱米颱風,316660.0,2684180.0,5877,8417,44.237068996877284,-0.487821357664942,-0.8729434821372646,0.02344924192485168,0.00594924192485168,1492.0,闊葉樹林型
2024_4755,凱米颱風,316760.0,2683980.0,5887,8422,37.674324214679494,0.48564293117863205,0.8741572761215378,0.0065094339622641505,0.011509433962264152,1552.0,闊葉樹林型
2024_4756,凱米颱風,316780.0,2683920.0,5890,8423,49.13094970675648,0.6273295378726446,0.778753909083283,0.005947590079550773,0.003447590079550772,1492.0,闊葉樹林型
2024_4757,凱米颱風,316940.0,2683800.0,5896,8431,42.08581058000388,0.9965457582448797,0.08304547985373996,-0.002103448275862069,0.005396551724137932,1315.0,闊葉樹林型
2024_4758,凱米颱風,315540.0,2683480.0,5912,8361,66.40680358896799,0.851658316704544,-0.5240974256643347,0.026609442060085836,-0.03339055793991416,1491.0,闊葉樹林型
2024_4759,凱米颱風,316580.0,2684800.0,5846,8413,47.03134321771491,-0.4657464328326224,-0.8849182223819824,0.01834598698481562,-0.011654013015184383,1018.0,闊葉樹林型
2024_4760,凱米颱風,315940.0,2685020.0,5835,8381,45.60472658302529,0.9301552213313228,0.3671665347360485,-0.01716297183942481,0.015337028160575198,1058.0,闊葉樹林型
2024_4761,凱米颱風,316160.0,2685040.0,5834,8392,69.72310085263504,0.9328686861868474,0.36021662139888166,-0.034678169254393446,0.030321830745606543,830.0,闊葉樹林型
2024_4762,凱米颱風,314240.0,2684720.0,5850,8296,34.218582707648956,0.9557790087219501,-0.2940858488375231,-0.0023783783783783785,-0.0023783783783783785,2237.0,針葉樹林型
2024_4763,凱米颱風,314340.0,2684700.0,5851,8301,55.084773756188326,0.8725060159497201,-0.4886033689318432,0.013404384896467721,-0.006595615103532279,2121.0,針葉樹林型
2024_4764,凱米颱風,314480.0,2684720.0,5850,8308,70.20949053541854,0.9985422732775083,-0.05397525801500045,0.0506755280407866,-0.0268244719592134,1940.0,闊葉樹林型
2024_4765,凱米颱風,314740.0,2684720.0,5850,8321,59.414614328646685,0.9456865993048666,-0.3250797685110479,-0.039646288209606986,0.015353711790393017,1643.0,闊葉樹林型
2024_4766,凱米颱風,314560.0,2684520.0,5860,8312,62.6668327893673,0.4264192316982556,-0.9045256429962997,-0.0535874102521289,0.04891258974787109,1865.0,闊葉樹林型
2024_4767,凱米颱風,314200.0,2684460.0,5863,8294,45.008949668923,0.9996876464081228,-0.02499219116020307,-0.007311055590256088,0.00518894440974391,2295.0,針葉樹林型
2024_4768,凱米颱風,314160.0,2684240.0,5874,8292,47.03908938941234,0.9079593845004517,-0.4190581774617469,0.030560975609756097,-0.011939024390243904,2291.0,針葉樹林型
2024_4769,凱米颱風,314460.0,2684000.0,5886,8307,44.563720855785085,0.9138115486202572,-0.4061384660534476,-0.005927835051546392,0.00907216494845361,2255.0,針葉樹林型
2024_4770,凱米颱風,314840.0,2683900.0,5891,8326,67.45043607798635,0.7474093186836597,-0.6643638388299198,0.04993103448275863,-0.08506896551724138,1907.0,闊葉樹林型
2024_4771,凱米颱風,314740.0,2683800.0,5896,8321,37.11250830386473,0.13216372009101793,-0.9912279006826347,0.02268558951965065,-0.002314410480349345,2060.0,闊葉樹林型
2024_4772,凱米颱風,314820.0,2683620.0,5905,8325,49.15745617630734,0.9941444630694566,0.10805918076841921,-0.018486688463334892,0.00901331153666511,2124.0,針闊葉樹混淆
2024_4773,凱米颱風,315340.0,2683380.0,5917,8351,51.006007432455384,0.586967571460931,-0.8096104433943876,0.0015505940188447378,-0.0009494059811552654,1718.0,針闊葉樹混淆
2024_4774,凱米颱風,315280.0,2683360.0,5918,8348,46.13520746598665,0.8169678632647617,-0.5766831975986553,0.00128175519630485,0.00628175519630485,1794.0,針闊葉樹混淆
2024_4775,凱米颱風,314560.0,2683140.0,5929,8312,37.90505895833579,0.7384854939281259,-0.6742693640213323,0.00485953608247423,0.034859536082474225,2345.0,闊葉樹林型
2024_4776,凱米颱風,315740.0,2683740.0,5899,8371,43.57077227020226,0.9986178293325098,0.052558833122763673,-0.010013812154696133,0.014986187845303868,1321.0,闊葉樹林型
2024_4777,凱米颱風,314740.0,2682720.0,5950,8321,40.66726026452702,-0.14549399049483136,0.9893591353648532,-0.0026270110076206605,-0.00012701100762066049,2197.0,針葉樹林型
2024_4778,凱米颱風,315620.0,2683020.0,5935,8365,61.33388970792965,0.17768253047631186,0.984087861099574,0.011546796189052869,-0.010953203810947132,1613.0,針闊葉樹混淆
2024_4779,凱米颱風,314940.0,2684380.0,5867,8331,56.04229451136372,0.7071067811865476,-0.7071067811865475,-0.03125,0.05375,1510.0,闊葉樹林型
2024_4780,凱米颱風,310600.0,2684820.0,5845,8114,46.04401145924414,0.9642053928037904,-0.2651564830210424,0.0028849506101104017,-0.009615049389889597,1999.0,
2024_4781,凱米颱風,311280.0,2684540.0,5859,8148,46.234022771928956,0.2873478855663454,0.9578262852211514,0.001720183486238532,0.001720183486238532,2053.0,闊葉樹林型
2024_4782,凱米颱風,311020.0,2684440.0,5864,8135,40.03075915578156,0.8035571933447457,0.5952275506257375,-0.0068423383525243586,0.0006576616474756423,2050.0,闊葉樹林型
2024_4783,凱米颱風,311420.0,2684200.0,5876,8155,38.67344937613533,0.9682773237093576,0.2498780190217697,-0.011921951219512195,-0.014421951219512197,1673.0,針葉樹林型
2024_4784,凱米颱風,311480.0,2684200.0,5876,8158,38.5639871373724,0.7525766947068778,0.6585046078685182,0.010353982300884957,0.002853982300884956,1630.0,針葉樹林型
2024_4785,凱米颱風,309700.0,2683660.0,5903,8069,43.139678341360025,0.7203202134914811,0.6936416870658706,-0.004140569395017795,0.008359430604982208,2210.0,針闊葉樹混淆
2024_4786,凱米颱風,310080.0,2683340.0,5919,8088,60.46935514792948,0.9771763639228009,-0.21242964433104367,-0.0010672382671480147,0.023932761732851984,1764.0,針闊葉樹混淆
2024_4787,凱米颱風,310820.0,2683260.0,5923,8125,50.98302833497572,0.12154119045249881,0.9925863886954069,0.00838120640131309,-0.00411879359868691,1568.0,針闊葉樹混淆
2024_4788,凱米颱風,309960.0,2683260.0,5923,8082,37.20254489015669,0.296399214872453,0.9550641368112371,-0.006563177874186551,0.00843682212581345,1851.0,針闊葉樹混淆
2024_4789,凱米颱風,310200.0,2683060.0,5933,8094,55.783498581858304,0.816024481101655,0.5780173407803391,0.04308092485549134,-0.04691907514450867,1537.0,闊葉樹林型
2024_4790,凱米颱風,311720.0,2682840.0,5944,8170,46.59848383582609,0.1182128897851123,0.9929882741949438,0.007311347121296814,-0.015188652878703185,1403.0,闊葉樹林型
2024_4791,凱米颱風,313580.0,2682760.0,5948,8263,52.53846097986847,-0.5938522968371138,0.8045740795857672,0.04463302752293579,-0.03286697247706423,1543.0,待成林地
2024_4792,凱米颱風,313540.0,2682720.0,5950,8261,47.99612863899791,-0.5178026794057725,0.855500079018233,0.025394069944247342,-0.01710593005575267,1487.0,
2024_4793,凱米颱風,298440.0,2685260.0,5823,7506,38.99732513321522,0.9880120337511015,-0.1543768802736096,-0.007202097235462344,-0.004702097235462345,1887.0,闊葉樹林型
2024_4794,凱米颱風,297140.0,2684920.0,5840,7441,36.86989764584402,0.6000000000000001,0.7999999999999999,-0.0005999999999999998,-0.0056,2146.0,闊葉樹林型
2024_4795,凱米颱風,318560.0,2679860.0,6093,8512,45.0,1.0,-0.0,-0.01,-0.0,1022.0,闊葉樹林型
2024_4796,凱米颱風,314920.0,2682240.0,5974,8330,48.56172665223335,0.9269468132231584,0.37519275773318317,0.01284096444227959,-0.024659035557720407,1839.0,闊葉樹林型
2024_4797,凱米颱風,314920.0,2682040.0,5984,8330,19.827028653408167,-0.5547001962252293,0.8320502943378436,-0.0021153846153846153,0.0028846153846153848,1718.0,闊葉樹林型
2024_4798,凱米颱風,314180.0,2681580.0,6007,8293,42.8104923209509,0.0539752580150004,0.9985422732775083,-0.03126729788783685,0.0012327021121631462,1283.0,闊葉樹林型
2024_4799,凱米颱風,312520.0,2681420.0,6015,8210,42.03111377419729,0.8320502943378437,0.554700196225229,-0.006346153846153847,-0.0013461538461538465,1115.0,
2024_4800,凱米颱風,313220.0,2681300.0,6021,8245,39.15678321830469,0.9517086177605509,0.3070027799227584,-0.007254948162111217,-0.004754948162111215,713.0,闊葉樹林型
2024_4801,凱米颱風,313180.0,2681080.0,6032,8243,34.66253388314486,0.9761870601839527,0.21693045781865616,-0.0005882352941176469,0.011911764705882353,702.0,闊葉樹林型
2024_4802,凱米颱風,313100.0,2680680.0,6052,8239,43.62008886674488,0.07870248542001057,0.9968981486534685,0.007582587749483827,-0.004917412250516173,763.0,闊葉樹林型
2024_4803,凱米颱風,314820.0,2680460.0,6063,8325,48.74735872696335,0.26311740579210874,0.9647638212377322,-0.029134615384615384,-0.009134615384615383,941.0,闊葉樹林型
2024_4804,凱米颱風,313120.0,2680220.0,6075,8240,44.783515145502,-0.6549305384178419,-0.7556890827898176,0.029292512690355328,-0.015707487309644667,864.0,闊葉樹林型
2024_4805,凱米颱風,313180.0,2680160.0,6078,8243,37.351484577447394,-0.5240974256643348,-0.8516583167045438,0.007789699570815452,-0.002210300429184549,941.0,闊葉樹林型
2024_4806,凱米颱風,314920.0,2680180.0,6077,8330,38.11835994667712,-0.3823517927262997,-0.9240168324218909,0.014197969543147209,0.0016979695431472085,1064.0,闊葉樹林型
2024_4807,凱米颱風,313100.0,2680140.0,6079,8239,46.906809868871804,0.18711210788999516,-0.9823385664224747,0.002811816192560175,0.002811816192560175,942.0,闊葉樹林型
2024_4808,凱米颱風,314100.0,2680140.0,6079,8289,40.376760812124,-0.41158672242649835,-0.9113705996586748,0.0190838375108038,-0.0184161624891962,646.0,闊葉樹林型
2024_4809,凱米颱風,314260.0,2680040.0,6084,8297,52.604265837081286,-0.4395528639808266,-0.8982167220477767,0.007734660336011691,-0.0022653396639883113,776.0,闊葉樹林型
2024_4810,凱米颱風,314320.0,2679960.0,6088,8300,45.783778649728035,-0.07297563831157802,-0.9973337235915658,-0.013303254437869824,-0.008303254437869821,870.0,闊葉樹林型
2024_4811,凱米颱風,315560.0,2679520.0,6110,8362,46.43767472695269,-0.8797065135761271,-0.47551703436547393,-0.0029508196721311475,0.009549180327868853,1516.0,闊葉樹林型
2024_4812,凱米颱風,315340.0,2679520.0,6110,8351,36.00673320377917,-0.997630328422983,0.06880209161537805,0.020369822485207103,-0.007130177514792898,1326.0,闊葉樹林型
2024_4813,凱米颱風,312560.0,2682460.0,5963,8212,49.853657527827764,-0.42173074971558466,0.9067211118885072,-0.020873721654068474,0.006626278345931527,1232.0,闊葉樹林型
