case,ft,slope,north,east,planc,profc,elev,slope2,bg_lid,x,y
0,闊葉樹林型,49.017701104158654,-0.5646839155919902,0.8253072612498318,-0.0052405660377358,-0.0452405660377358,1420.0,2402.7350215366364,bg_119,270092.9,2655365.0
0,闊葉樹林型,33.425567049364545,0.7954317200324987,0.6060432152628562,-0.026922525107604,0.0105774748923959,1130.0,1117.268532571565,bg_120,234683.4,2641795.5
0,針葉樹林型,22.40687120493745,0.2425356250363328,-0.970142500145332,-0.0258823529411764,0.0241176470588235,747.0,502.067877194655,bg_130,327934.6,2754122.7
0,闊葉樹林型,26.217612768234883,-0.4061384660534476,-0.9138115486202572,-0.0258762886597938,-0.0008762886597938,1227.0,687.3632192651128,bg_131,224644.5,2479943.8
0,闊葉樹林型,34.03756281454756,-0.7772448707074855,0.6291982286679645,-0.0038681506849315,0.0061318493150684,804.0,1158.555682354271,bg_132,318416.5,2687345.2
0,闊葉樹林型,31.311156133255537,-0.9863939238321436,-0.1643989873053574,6.756756756756757e-05,0.0050675675675675,2170.0,980.3884984011058,bg_144,235562.3,2525138.5
0,闊葉樹林型,18.00416160591338,6.123233995736766e-17,1.0,0.025,-0.0125,920.0,324.1498351318455,bg_154,310816.7,2747067.0
0,闊葉樹林型,12.979350497927722,0.9761870601839528,0.2169304578186562,0.0258235294117647,-0.0316764705882353,140.0,168.4635393480566,bg_157,307583.5,2755971.2
0,竹林,22.144873841221017,-0.7371541402007412,-0.6757246285173465,0.0042075471698113,-0.0032924528301886,356.0,490.39543744359486,bg_158,232088.2,2655851.4
0,闊葉樹林型,32.51251731617002,0.4314554973040049,-0.9021342216356464,-0.0032480769230769,-0.0032480769230769,289.0,1057.0637822342553,bg_161,313775.9,2754938.2
0,闊葉樹林型,38.67344937613533,-0.2498780190217697,-0.9682773237093576,-0.0101658536585365,0.0173341463414634,595.0,1495.635686648502,bg_164,312051.5,2748344.3
0,闊葉樹林型,15.436640338110504,-0.0905357460425184,0.995893206467704,-0.0119262295081967,-0.0019262295081967,42.0,238.2898649281804,bg_167,326177.7,2746265.4
