case,ft,slope,north,east,planc,profc,elev,slope2,bg_lid,x,y,old_scar,d_debris,d_road,d_river,in_largels
0,闊葉樹林型,33.946295027753955,0.8541985556144386,0.5199469468957453,-0.0192448275862069,0.0082551724137931,1453.0,1152.3509461113129,bg_239,323059.9,2710925.9,False,5861.902313273116,7776.711191671174,2230.094628602453,False
0,闊葉樹林型,27.484186071108013,0.8169678632647617,0.5766831975986553,-0.0153579676674364,0.0071420323325635,1156.0,755.3804839912877,bg_244,260318.7,2649236.0,False,1464.2726190109845,5815.853005512046,545.6816563897447,False
0,闊葉樹林型,64.15138738667669,0.2906796273194849,-0.956820439926638,-0.0240934428634296,0.0234065571365703,406.0,4115.400503635461,bg_248,231672.0,2482717.0,False,6512.43802938061,11216.702756539054,852.1382316341112,False
0,竹林,25.407718108948472,1.0,0.0,0.02,-0.0075,104.0,645.5521395037881,bg_255,192755.4,2544201.4,False,4788.175897034669,2674.0267696175683,96.02091808469123,False
0,闊葉樹林型,36.839310662660615,-0.9010016697590998,-0.4338156187728999,-0.0085913140311804,0.0164086859688196,1124.0,1357.13481010002,bg_257,301906.0,2736131.2,False,4240.731477586586,9673.472410776667,4390.569878167914,False
0,闊葉樹林型,10.21937711459359,-0.8320502943378437,-0.5547001962252291,-0.0073076923076923,0.0026923076923076,1672.0,104.4356686102792,bg_261,281329.1,2716868.6,False,2389.454525773887,13556.84962122882,2394.63829430594,False
0,針闊葉樹混淆,42.862412092456296,-0.4579565896743103,-0.888974556426603,-0.0044466618287373,0.0105533381712626,2404.0,1837.186370383544,bg_262,281654.4,2706608.6,False,3695.980571428151,6492.424924718188,7504.573333218077,False
0,闊葉樹林型,1.4320961841646465,-1.0,1.2246467991473532e-16,0.0,-0.0074999999999999,1603.0,2.050899480698941,bg_267,291291.9,2711421.3,False,2955.189770976031,2816.8648649345328,2330.241084094495,False
0,竹林,32.63194030642942,0.7808688094430304,-0.6246950475544243,0.0086585365853658,-0.0213414634146341,152.0,1064.843528162373,bg_270,315498.8,2786593.9,False,961.6771953477577,2467.188677212728,761.140101767468,False
0,闊葉樹林型,48.91696599526741,-0.9590177080589004,-0.2833461410174025,0.0271116389548693,-0.0003883610451306,1630.0,2392.8695621821475,bg_275,289504.1,2658352.1,False,10693.192946792162,14460.476000430972,1720.4073714215651,False
0,針葉樹林型,32.51251731617002,-0.1961161351381841,0.98058067569092,-0.0025480769230769,-0.0025480769230769,2765.0,1057.0637822342553,bg_280,236532.4,2560816.9,False,1642.1294334029026,9022.939641966293,8537.958639410588,False
0,針闊葉樹混淆,30.10818826996884,-0.129339184067768,0.9916004111862218,-0.0028136617100371,-0.0078136617100371,781.0,906.5030008998892,bg_284,278388.2,2734908.8,False,1251.4600669119222,6631.335378805451,2381.0840482741623,False
0,闊葉樹林型,18.053902977226738,-0.8436614877321074,-0.5368754921931594,-0.0164779411764705,0.0135220588235294,853.0,325.9434127111165,bg_285,292876.3,2585485.1,False,1644.5535937765683,5249.391945357197,885.8008480635599,False
0,針葉樹林型,20.556045219583467,-0.8,-0.6,0.0088,-0.0136999999999999,2588.0,422.5509950695603,bg_288,258710.9,2603729.1,False,14069.156756089571,17372.51592654935,10008.695009667965,False
0,竹林,29.49620849656644,-0.7071067811865475,0.7071067811865476,-0.0287499999999999,0.02125,381.0,870.0263156729181,bg_289,237986.0,2697790.0,False,82.69610264871638,1988.0747700937586,1046.1942541208782,False
0,闊葉樹林型,33.33081260166977,0.152057184253941,0.9883716976506172,-0.0135260115606936,0.0014739884393063,1017.0,1110.9430686876285,bg_301,248692.7,2708102.6,False,925.280592926606,8255.587413550214,799.8917059799255,False
0,針闊葉樹混淆,26.67924362098057,-0.0995037190209989,0.9950371902099892,0.005569306930693,0.000569306930693,2540.0,711.7820401876326,bg_302,289503.1,2665443.1,False,9540.509197292222,8774.151752034619,6217.497028428399,False
0,待成林地,22.59136070457113,-0.8411784753765534,-0.5407575913134989,-0.001768953068592,0.0007310469314079,2990.0,510.3695784840406,bg_306,267474.2,2599839.0,False,14982.172522432687,19197.560210496387,5276.887350341924,False
0,闊葉樹林型,20.59784729451404,0.9977851578566088,-0.0665190105237739,-0.0366261061946902,0.0283738938053097,1777.0,424.27131316811904,bg_307,257246.2,2581691.4,False,18983.317956447267,12053.793002787685,6851.830572069024,False
0,闊葉樹林型,38.93040115948257,0.9284766908852592,-0.3713906763541037,-0.0030172413793103,0.0019827586206896,2047.0,1515.576134438242,bg_312,258244.5,2709632.1,False,4769.133070301077,16886.40112486492,5295.50172692379,False
0,闊葉樹林型,45.11591147929481,-0.3236876790629903,-0.946163984953356,-0.0018784872907625,0.0106215127092374,1342.0,2035.445468607565,bg_314,247808.1,2695342.3,False,217.89236475090033,11883.735162278403,1783.5570740436694,False
0,針葉樹林型,37.81892671564865,0.2576626505603324,0.9662349396012464,0.0215352697095435,-0.0234647302904564,2005.0,1430.2712179236032,bg_324,244818.2,2587378.1,False,11832.151584313659,11882.024417387514,461.89148200654023,False
0,闊葉樹林型,27.565248984490395,0.2873478855663454,0.9578262852211514,0.0080963302752293,-0.0019036697247706,184.0,759.8429515769487,bg_332,304417.6,2650400.7,False,83.3786494303406,1259.0541661252257,1499.5852282121734,False
0,針闊葉樹混淆,40.7270942279994,-0.9001592514155136,0.4355609281042806,-0.015373102866779,-0.005373102866779,2140.0,1658.6962042563416,bg_334,255559.7,2591195.5,False,18416.438634868588,17755.39610169071,5966.942809737782,False
0,針闊葉樹混淆,49.77810484395156,-0.2325732132217078,0.9725788916544148,-0.0309756370138578,0.0215243629861421,2294.0,2477.8597218554337,bg_337,275447.5,2651659.7,False,5723.9809805625955,8393.874511782888,6928.157202748372,False
0,闊葉樹林型,33.02386755579665,6.123233995736766e-17,-1.0,0.015,-0.025,380.0,1090.5758283427986,bg_345,292003.5,2592531.9,False,4380.375978822011,5816.646040400269,1006.3751817803695,False
0,闊葉樹林型,0.0,-1.0,1.2246467991473532e-16,0.0,0.0,30.0,0.0,bg_347,309141.3,2657522.0,False,617.5524143257771,2732.072246941742,231.08423180659588,False
0,針葉樹林型,26.47888107199723,0.9535826651341416,0.3011313679370974,0.0009256926952141,0.0184256926952141,2814.0,701.1311428249732,bg_355,289113.0,2685898.8,False,8703.796059889242,8304.989601819083,7942.596630265608,False
0,闊葉樹林型,41.04621124674467,-0.7752349855172893,0.6316729511622357,-0.0058944765045342,-0.0033944765045342,702.0,1684.7914577123886,bg_359,215109.0,2515139.8,False,3561.7115367182532,859.535299238507,1723.519099848174,False
0,闊葉樹林型,29.205932247399417,-0.8944271909999159,-0.4472135954999581,-0.0055,-0.0055,1019.0,852.9864784396851,bg_365,245041.2,2667573.6,False,1919.4540955942764,5926.437000040399,3213.7523002471753,False
0,闊葉樹林型,37.60152555834086,0.5843047258450759,-0.8115343414514944,-0.0202660695468914,0.0072339304531085,1613.0,1413.874724314561,bg_367,268236.6,2661218.2,False,2872.4712959891485,1348.5297777998862,815.2961054940502,False
0,闊葉樹林型,45.94384556416114,0.532171545218346,-0.8466365492110047,0.0189701579871269,0.0064701579871269,810.0,2110.836945223489,bg_369,220288.1,2546657.2,False,1895.6274347305332,4610.668918118405,4700.8097242056865,False
0,竹闊混淆林,40.7628826356304,-0.8700221858486124,-0.4930125719808801,-0.0051093355761143,-0.0026093355761143,366.0,1661.6126007661785,bg_370,285367.0,2745938.6,False,583.2179883906806,266.32828205216657,414.35291054457457,False
0,針葉樹林型,26.67924362098057,-0.9950371902099892,-0.0995037190209988,0.0001237623762376,0.0001237623762376,1768.0,711.7820401876326,bg_374,241874.8,2539516.5,False,12479.738160538296,19088.792233920674,9576.909415872971,False
0,針葉樹林型,33.50097823942329,0.9820064469806472,0.1888473936501244,-0.0035235378031383,0.0039764621968616,1741.0,1122.3155429983128,bg_376,231643.4,2615546.6,False,1074.7470877523665,6038.449201875535,1095.0544190517178,False
0,針葉樹林型,36.08714706573126,0.5144957554275265,-0.8574929257125442,0.0103308823529411,0.0153308823529411,2287.0,1302.2821833437165,bg_378,259603.9,2577034.1,False,15261.38746013389,11014.762446325136,1719.201769660965,False
0,闊葉樹林型,18.053902977226738,-0.076696498884737,-0.9970544855015816,-0.023485294117647,-0.038485294117647,66.0,325.9434127111165,bg_379,187891.7,2557476.2,False,7196.025108079349,2498.1806702894287,483.7604626646269,False
0,闊葉樹林型,62.6746340356859,0.1033398550733824,0.994646105081306,0.0232596362422826,-0.0442403637577173,817.0,3928.109751507157,bg_380,302801.5,2657655.3,False,356.0114177754314,6850.154179934519,2860.7803370717506,False
0,闊葉樹林型,17.5484006137923,-0.9486832980505138,0.316227766016838,0.007,-0.0079999999999999,108.0,307.94636410214594,bg_388,350435.9,2766913.4,False,800.0614127582592,367.79900549730735,473.24304312171336,False
0,闊葉樹林型,17.5484006137923,-0.9486832980505138,0.316227766016838,-0.0072499999999999,0.00275,219.0,307.94636410214594,bg_391,294753.9,2613371.4,False,1131.145369053954,3013.8947383212244,94.38937998694766,False
