uid,NDVI,NDMI,NBR,n_obs
bg_716,0.8606212735176086,0.3917368054389953,0.6970179677009583,177.0
bg_717,0.8729904294013977,0.3429396152496338,0.6679377555847168,384.0
bg_719,0.884882390499115,0.3690028488636017,0.6702280640602112,377.0
bg_721,0.8222113251686096,0.2036290317773819,0.510312020778656,333.0
bg_722,0.823833703994751,0.3053163588047027,0.6071092486381531,190.0
bg_724,0.8297260999679565,0.3067937195301056,0.5918502807617188,350.0
bg_733,0.8698556423187256,0.395486056804657,0.7009152173995972,182.0
bg_737,0.8384069800376892,0.3522495627403259,0.6468114256858826,319.0
bg_739,0.8489039540290833,0.3528397977352142,0.6470986604690552,203.0
bg_742,0.818399965763092,0.3263536393642425,0.6291326284408569,468.0
bg_754,0.822395920753479,0.3292058110237121,0.6269122958183289,464.0
bg_755,0.877223014831543,0.3730196058750152,0.6658854484558105,248.0
bg_757,0.7676225304603577,0.286392331123352,0.5837595462799072,361.0
bg_761,0.8111086487770081,0.2470290958881378,0.5464344620704651,177.0
bg_773,0.8015028238296509,0.2422047406435012,0.5227106213569641,146.0
bg_780,0.7958294749259949,0.1875419318675995,0.5000492334365845,538.0
bg_783,0.8219931721687317,0.2797197997570038,0.5805442929267883,401.0
bg_786,0.8142374157905579,0.3153786659240722,0.6031992435455322,440.0
bg_788,0.8050782084465027,0.2969978749752044,0.5817226767539978,92.0
bg_802,0.8332899212837219,0.3660925626754761,0.646520733833313,201.0
bg_807,0.8186179399490356,0.3186991512775421,0.6185975670814514,405.0
bg_808,0.8065891861915588,0.2489073425531387,0.5762736797332764,403.0
bg_813,0.8459858894348145,0.2286416739225387,0.5197426080703735,428.0
bg_816,0.8007608652114868,0.263824313879013,0.5820025205612183,126.0
bg_833,0.8731517791748047,0.3503875434398651,0.6621302366256714,276.0
bg_837,0.8170704245567322,0.2365573793649673,0.5345003604888916,357.0
bg_840,0.8611577749252319,0.3770008385181427,0.6777763962745667,414.0
bg_859,0.8340259194374084,0.2684159576892853,0.5800144076347351,269.0
bg_876,0.7925945520401001,0.3135297298431396,0.6127276420593262,211.0
bg_878,0.8190937042236328,0.2203819155693054,0.5336676239967346,532.0
bg_879,0.7224611639976501,0.2373696267604828,0.5014917850494385,279.0
bg_886,0.8063933253288269,0.1932889372110366,0.5249574780464172,480.0
bg_887,0.8239911794662476,0.3141365349292755,0.5988864302635193,181.0
bg_889,0.7984721660614014,0.3355018198490143,0.6026287078857422,66.0
bg_894,0.8184894919395447,0.3526850342750549,0.6503628492355347,317.0
bg_895,0.8943823575973511,0.3885374069213867,0.6773388385772705,429.0
bg_900,0.8535110950469971,0.3465025126934051,0.6581462025642395,408.0
bg_904,0.8391727805137634,0.4002992808818817,0.6894137263298035,351.0
bg_915,0.8147928714752197,0.2218832373619079,0.5099276304244995,476.0
bg_923,0.855959415435791,0.3661208152770996,0.6497822999954224,747.0
bg_925,0.7772690057754517,0.270024299621582,0.5604515075683594,160.0
bg_929,0.7869535088539124,0.257546454668045,0.5216604471206665,133.0
bg_933,0.8333038091659546,0.3095307946205139,0.6302915811538696,474.0
bg_940,0.6624208688735962,0.155505746603012,0.411948025226593,406.0
bg_947,0.8340202569961548,0.3342710137367248,0.6505689024925232,384.0
bg_955,0.7602546811103821,0.1542826294898986,0.4283625483512878,462.0
bg_972,0.8697783350944519,0.3273720741271972,0.6302691102027893,213.0
bg_974,0.8574362993240356,0.3538921475410461,0.682584822177887,125.0
bg_979,0.8616371750831604,0.3135367035865783,0.63490229845047,1018.0
bg_982,0.8532631993293762,0.3390995562076568,0.658218502998352,173.0
bg_984,0.7678310871124268,0.2326140254735946,0.5286250710487366,427.0
bg_991,0.8418675661087036,0.3386152684688568,0.6348796486854553,248.0
bg_993,0.8115042448043823,0.3038659989833832,0.5952453017234802,307.0
bg_998,0.8655223846435547,0.2875978648662567,0.595276951789856,280.0
bg_999,0.7672167420387268,0.2788402438163757,0.571954607963562,454.0
bg_1001,0.7475062012672424,0.2201198637485504,0.5169872641563416,447.0
bg_1003,0.8477002382278442,0.3289827704429626,0.6492496132850647,124.0
bg_1004,0.8500419855117798,0.3436407744884491,0.6547076106071472,132.0
bg_1008,0.8776779770851135,0.3701028525829315,0.6700398325920105,314.0
bg_1030,0.7684049010276794,0.1576403230428695,0.4343180060386657,388.0
bg_1031,0.8185049295425415,0.2062384188175201,0.5096755623817444,329.0
bg_1032,0.8064103126525879,0.3073702752590179,0.583311140537262,423.0
bg_1045,0.8281568288803101,0.3093371987342834,0.626939594745636,120.0
bg_1050,0.8733231425285339,0.3223358392715454,0.6387717723846436,502.0
bg_1052,0.8342558741569519,0.2735952138900757,0.5682263374328613,136.0
bg_1057,0.7364364266395569,0.2236163914203643,0.4944994747638702,469.0
bg_1064,0.838487446308136,0.3492298722267151,0.6455754041671753,200.0
bg_1069,0.8318137526512146,0.2164928466081619,0.4736524224281311,413.0
