bg_lid,before,dist_nearest_case_m
bg_1609,2025-06-28,1439.50537425187
bg_1611,2019-07-15,1815.8076475496277
bg_1612,2018-07-30,2866.289096410249
bg_1618,2022-10-02,9185.627811451108
bg_1634,2021-07-14,10894.611969886699
bg_1642,2025-06-28,906.2416315750826
bg_1648,2024-07-08,723.2142656223612
bg_1651,2025-04-14,4073.1862408316315
bg_1659,2024-04-29,3869.006395704443
bg_1661,2025-04-14,2772.1688958105556
bg_1678,2024-07-18,1043.5320836947274
bg_1680,2024-02-14,2317.574643824826
bg_1687,2024-02-14,2254.3917810572716
bg_1690,2024-02-14,1302.1651299277303
bg_1717,2025-04-14,1425.3366648268752
bg_1727,2025-03-25,2054.164763717745
bg_1728,2024-04-29,225.33821801908366
bg_1729,2025-03-25,6353.83534905494
bg_1736,2024-07-18,752.9549916163609
bg_1743,2023-07-14,933.7987260649073
bg_1747,2021-07-14,19413.29145936867
bg_1749,2024-09-11,385.3863757323523
bg_1756,2025-03-25,1766.7456854906618
bg_1765,2023-07-03,92.99348471797413
bg_1777,2025-03-25,3576.593456698561
bg_1786,2024-07-18,2020.771692819311
bg_1791,2023-08-28,831.7395920599287
bg_1792,2024-09-11,22385.621762696202
bg_1796,2025-03-25,4950.253981777312
bg_1807,2024-07-18,3556.52173204372
bg_1808,2025-04-14,339.9017566887455
bg_1809,2024-04-29,12831.053398283408
bg_1816,2024-02-14,412.6006817733817
bg_1820,2025-03-25,12091.219106843835
bg_1829,2021-07-14,10870.38706654
bg_1830,2025-10-12,1766.0344279771152
bg_1832,2024-07-18,2163.990627428934
bg_1833,2022-07-24,3145.766314985799
bg_1840,2021-07-14,896.5514883151656
bg_1845,2025-04-14,2583.846168989391
bg_1847,2025-04-14,1758.0130301283152
bg_1858,2023-06-07,364.97917885825274
bg_1871,2021-07-14,13270.644652329538
bg_1872,2025-06-28,2753.2354963023445
bg_1882,2023-08-07,1401.8903649715362
bg_1884,2023-07-09,820.1327941866209
bg_1897,2023-08-26,60.72851471921012
bg_1899,2024-02-14,1190.841822661629
bg_1903,2025-03-25,3023.611217352575
bg_1904,2023-08-26,1333.7045379320875
bg_1918,2024-07-18,390.15176649592655
bg_1919,2025-03-25,7743.044181224756
bg_1920,2025-03-25,1574.4552028557857
bg_1929,2022-10-02,4376.517086051274
bg_1935,2023-09-14,315.04160122113313
bg_1937,2024-07-18,2590.495931921137
bg_1944,2024-07-18,3459.3710589067564
bg_1947,2023-08-28,1198.8508394292808
bg_1950,2018-09-03,912.4468480410177
bg_1961,2025-03-25,2776.5973514535735
bg_1962,2022-07-24,1416.9749666455511
bg_1963,2025-03-25,296.2490958637549
bg_1973,2024-02-14,949.1008580755574
bg_1988,2024-07-18,2296.4868820221513
bg_1996,2025-04-14,1840.4029681023458
bg_2003,2023-07-14,795.9093058885203
bg_2004,2025-09-11,1647.7717233282556
bg_2009,2024-02-14,2160.45934294083
bg_2011,2024-09-11,550.8928580041332
bg_2018,2024-07-18,1296.6070149432555
bg_2021,2021-07-09,2615.133017496596
bg_2028,2022-07-24,10404.526302768436
bg_2029,2024-07-18,2597.3907590696226
bg_2030,2024-07-18,2127.0426642879847
bg_2032,2025-03-25,348.1051744802147
bg_2044,2025-04-14,2502.374491917329
bg_2054,2025-04-14,3935.3201120112094
bg_2061,2025-04-14,585.6151587006349
bg_2066,2021-07-14,5698.328115298456
bg_2068,2024-08-22,664.1357285979711
bg_2103,2025-03-25,2952.758872055072
bg_2109,2024-07-18,789.1189900768693
bg_2116,2024-02-14,1390.0050491994286
bg_2121,2021-07-14,4665.56262691864
bg_2126,2024-07-18,2844.9312020151374
bg_2135,2025-03-25,1417.7760202867998
bg_2136,2025-03-25,2805.2716652226813
bg_2150,2024-07-18,1773.7739281542877
bg_2158,2022-10-02,6282.726331179686
bg_2168,2023-07-15,204.95459253215202
bg_2169,2023-07-14,70.56196142399232
bg_2172,2025-03-25,4051.0602462195507
bg_2174,2025-06-28,1322.9106433920429
bg_2185,2025-03-25,476.4624964252698
