uid,NDVI,NDMI,NBR,n_obs,before
bg_45784,0.8107632994651794,0.2391608357429504,0.575577974319458,3.0,2018-07-30
bg_46279,0.9260067343711852,0.3483069539070129,0.6693785190582275,2.0,2018-07-30
bg_47404,0.8525073528289795,0.3133496046066284,0.6143959164619446,1.0,2018-07-30
bg_48118,0.8574297428131104,0.4145884215831756,0.7098821401596069,3.0,2018-07-30
bg_307,,,,,2018-09-03
bg_1950,,,,,2018-09-03
bg_3585,,,,,2018-09-03
bg_12830,,,,,2018-09-03
bg_16901,0.7630794048309326,0.2113987654447555,0.5055555701255798,1.0,2018-09-03
bg_17878,,,,,2018-09-03
bg_19483,,,,,2018-09-03
bg_20737,,,,,2018-09-03
bg_23333,,,,,2018-09-03
bg_24061,0.8973977565765381,0.3732735514640808,0.6782113313674927,1.0,2018-09-03
bg_30071,0.8362338542938232,0.3670902550220489,0.6728368997573853,2.0,2018-09-03
bg_30533,0.780074954032898,0.3295213580131531,0.6378006339073181,2.0,2018-09-03
bg_30564,,,,,2018-09-03
bg_30747,,,,,2018-09-03
bg_30999,,,,,2018-09-03
bg_31910,,,,,2018-09-03
bg_35749,,,,,2018-09-03
bg_47795,,,,,2018-09-03
bg_48423,0.7582521438598633,0.2968451976776123,0.5962681174278259,2.0,2018-09-03
bg_1307,0.889644980430603,0.1672268807888031,0.5400393009185791,14.0,2019-02-08
bg_11653,0.951772391796112,0.3008043766021728,0.6390323042869568,18.0,2019-02-08
bg_13388,0.8668707013130188,0.3672346174716949,0.6199461221694946,9.0,2019-02-08
bg_20041,0.8905472755432129,0.1415730416774749,0.4926624596118927,9.0,2019-02-08
bg_21585,0.7297428846359253,-0.0111556919291615,0.2753277420997619,16.0,2019-02-08
bg_21703,0.935793161392212,0.3378596007823944,0.6682582497596741,16.0,2019-02-08
bg_22753,0.626423716545105,0.0960055887699127,0.3918181657791137,13.0,2019-02-08
bg_24770,0.8378989100456238,0.357224553823471,0.6392157077789307,9.0,2019-02-08
bg_27108,0.8252252340316772,0.0738408714532852,0.4441878497600555,7.0,2019-02-08
bg_30790,0.8168701529502869,0.0730781257152557,0.4298739731311798,9.0,2019-02-08
bg_30982,0.8889814019203186,-0.039810474961996,0.2098224312067031,8.0,2019-02-08
bg_34009,0.5959365963935852,-0.0097117815166711,0.3143856227397918,16.0,2019-02-08
bg_34159,0.5407572388648987,0.0848308429121971,0.3067875802516937,14.0,2019-02-08
bg_36640,0.5002912282943726,0.2131514251232147,0.4994179308414459,9.0,2019-02-08
bg_37196,0.8640776872634888,0.2379603236913681,0.578000009059906,13.0,2019-02-08
bg_38120,0.8589211702346802,0.2088920027017593,0.5342137217521667,13.0,2019-02-08
bg_47906,0.5790408253669739,0.0032728146761655,0.2758229076862335,17.0,2019-02-08
bg_10188,0.8514211177825928,0.3650729656219482,0.6459546089172363,6.0,2019-02-21
bg_11082,0.8597534894943237,0.5061091184616089,0.7627586126327515,7.0,2019-02-21
bg_12450,0.8715953230857849,0.4051358699798584,0.6892010569572449,7.0,2019-02-21
bg_29202,0.6507505178451538,0.3812953233718872,0.6121570467948914,8.0,2019-02-21
bg_44679,0.8353376388549805,0.4184093177318573,0.7199826836585999,7.0,2019-02-21
bg_13881,0.2011667340993881,-0.080889455974102,0.0052079325541853,8.0,2019-03-27
bg_16200,0.7974481582641602,0.234042540192604,0.5061224102973938,7.0,2019-03-27
bg_26920,0.8262618780136108,0.2750817537307739,0.5755755305290222,10.0,2019-03-27
bg_30228,0.8080194592475891,0.1790808290243148,0.5403726696968079,7.0,2019-03-27
bg_42042,0.8519999980926514,0.3472356796264648,0.6442734599113464,7.0,2019-03-27
bg_44134,0.7278033494949341,0.1716666519641876,0.4772786796092987,7.0,2019-03-27
bg_13676,0.7517635226249695,0.132397711277008,0.3587284088134765,16.0,2019-04-11
bg_17685,0.8416159152984619,0.2904530763626098,0.6044828295707703,17.0,2019-04-11
bg_940,0.5845057368278503,0.0483352802693843,0.3198692202568054,16.0,2019-04-26
bg_991,0.8211318850517273,0.3025995790958404,0.5956775546073914,8.0,2019-04-26
bg_2527,0.7589669823646545,0.2327143549919128,0.5061549544334412,7.0,2019-04-26
bg_3055,0.7902432680130005,0.2961393892765045,0.5826538801193237,18.0,2019-04-26
bg_4141,0.8274295926094055,0.2670598030090332,0.5770235061645508,21.0,2019-04-26
bg_4536,0.8432368040084839,0.321965605020523,0.615963876247406,9.0,2019-04-26
bg_6859,0.7690351009368896,0.1172192618250846,0.3974188268184662,20.0,2019-04-26
bg_7000,0.8482276797294617,0.2811347246170044,0.6067598462104797,19.0,2019-04-26
bg_7273,0.5721625089645386,0.1496883332729339,0.4006445407867431,4.0,2019-04-26
bg_7770,0.350741982460022,-0.23378387093544,-0.0442458651959896,20.0,2019-04-26
bg_8996,0.7504636645317078,0.208893671631813,0.5031890273094177,8.0,2019-04-26
bg_9079,0.8371681571006775,0.3218719959259033,0.6199765801429749,9.0,2019-04-26
bg_10519,0.7066930532455444,0.0650255605578422,0.3545159697532654,20.0,2019-04-26
bg_10667,0.7374444007873535,0.1432761996984481,0.392619639635086,20.0,2019-04-26
bg_10788,0.8495243787765503,0.3710937798023224,0.6354261636734009,7.0,2019-04-26
bg_10830,0.6767955422401428,0.1097825691103935,0.4166307151317596,4.0,2019-04-26
bg_10927,0.7003822326660156,0.054252702742815,0.3539634943008423,10.0,2019-04-26
bg_10975,0.7980997562408447,0.2788344919681549,0.5792104005813599,5.0,2019-04-26
bg_11875,0.7417375445365906,0.190028503537178,0.4936694204807281,18.0,2019-04-26
bg_12194,0.8350391387939453,0.2430219501256942,0.5799326300621033,9.0,2019-04-26
bg_12709,0.7939578890800476,0.2239225953817367,0.4840523302555084,18.0,2019-04-26
bg_12798,0.7148148417472839,0.2771660983562469,0.5952167510986328,7.0,2019-04-26
bg_15014,0.7595248222351074,0.2289109975099563,0.4856052100658417,22.0,2019-04-26
bg_16969,0.7645400762557983,0.2413126677274704,0.5490469932556152,6.0,2019-04-26
bg_18094,0.8654124140739441,0.314156711101532,0.6465436220169067,18.0,2019-04-26
bg_21473,0.8414918780326843,0.3655822575092315,0.6607581973075867,18.0,2019-04-26
bg_22310,0.8171906471252441,0.3426423072814941,0.6401509046554565,9.0,2019-04-26
bg_23592,0.7625325918197632,0.3355483710765838,0.6335172653198242,4.0,2019-04-26
bg_23949,0.9011144638061525,0.4082222282886505,0.7102640867233276,8.0,2019-04-26
bg_25036,0.687329113483429,0.2611339092254638,0.5121207237243652,11.0,2019-04-26
bg_25562,0.7883925437927246,0.347186416387558,0.6261793375015259,18.0,2019-04-26
bg_25770,0.7964031100273132,0.1995391845703125,0.5187638998031616,16.0,2019-04-26
